tut_3b_18;Administration - This money goes to pay your bureaucrats. The bureaucrats run your social reforms and collect your taxes. The more bureaucrats you have in a state, the more efficient your tax collection becomes. You can see you average administrative efficiency above the slider.;Administration : ces dépenses servent à payer vos bureaucrates. Ceux-ci s'occupent de vos réformes sociales et collectent vos impôts. Plus vous avez de bureaucrates dans un État, plus la collecte des impôts est efficace. L'efficacité moyenne de votre administration apparaît au-dessus du curseur.;Verwaltung - Mit diesen Geldern werden Ihre Bürokraten bezahlt. Die Bürokraten führen Ihre Sozialreformen aus und treiben Ihre Steuern ein. Je mehr Bürokraten Sie in einem Staat haben, desto effizienter werden Ihre Steuern eingetrieben. Oberhalb des Schiebereglers sehen Sie Ihre durchschnittliche Verwaltungseffizienz.;;Administración. Este dinero se destina a pagar a los burócratas. Los burócratas llevan a cabo tus reformas sociales y recaudan tus impuestos. Cuanto más alto sea el número de burócratas de tu estado, más eficaz será tu recaudación de impuestos. Comprueba tu eficacia administrativa sobre el control deslizante.;;;;;;;;;x;
tut_3b_19;Social Spending - This goes to financing social reforms like Unemployment Subsidies and Pensions.;Dépenses sociales : ces dépenses servent à financer les réformes sociales, les allocations chômage et les pensions.;Sozialausgaben - Diese Gelder fließen in die Finanzierung von Sozialreformen, Arbeitslosenunterstützung und Renten.;;Gasto social. Se destina a financiar las reformas sociales como los subsidios de desempleo y las pensiones.;;;;;;;;;x;
tut_3b_20;Military Spending - This goes to the salary of your soldiers and officers.;Dépenses militaires : ces dépenses servent à payer les soldes de vos soldats et officiers.;Wehretat - Diese Gelder werden zur Bezahlung Ihrer Soldaten und Offiziere aufgewendet.;;Gasto militar. Se trata del salario de tus soldados y oficiales.;;;;;;;;;x;
tut_3b_21;All these expenses go directly to different kinds of citizens. If you pay too little, people might start looking for new jobs, and if you pay more you will get other people promoting to the strata, thus increasing the costs. It will be up to you how to balance your spending to get the optimal number of employees in each sector.\nClick next to continue.;Toutes ces dépenses sont directement versées à différents types de citoyens. Si vous ne les payez pas suffisamment, ils risquent de se mettre à la recherche d'un nouvel emploi, et si vous les payer trop bien, d'autres personnes vous rejoindront (entraînant alors une hausse des coûts). À vous de trouver le bon équilibre pour avoir un nombre optimal d'employés dans chaque secteur.\nCliquez sur Suivant pour continuer.;Alle diese Ausgaben sind Zahlungen, die direkt an die verschiedenen Bürger gehen. Wenn Sie ihnen zu wenig zahlen, werden sie sich nach neuen Berufen umsehen, wenn Sie ihnen zu viel zahlen, werden sie andere dazu ermutigen, ihren Beruf zu ergreifen (was Ihre Kosten erhöht). Es liegt an Ihnen, wie Sie Ausgaben dazu einsetzen, in jedem Wirtschaftsbereich die optimale Angestelltenzahl zu haben.\nKlicken Sie zum Fortfahren auf Weiter.;;Todos los gastos repercuten directamente en los diferentes tipos de ciudadanos. Si pagas muy poco, la gente podría empezar a buscar nuevos trabajos, y si pagas demasiado, tendrás más gente que sube de estrato, además de incrementar los costes. Depende de tu habilidad para equilibrar tus gastos el conseguir el número óptimo de empleados en cada sector.\nHaz clic en Siguiente para continuar.;;;;;;;;;x;
tut_3b_22;Diplomatic Balance;Équilibre diplomatique;Diplomatische Ausgewogenheit;;Balance diplomático;;;;;;;;;x;
tut_3b_23;Money can also enter and leave your government budget through international relations. These can include War Subsidies that we either pay to or receive from our friends, or they can be war repatriations.\nClick next to Continue.;L'argent peut aussi entrer et sortir du budget de votre gouvernement via les relations internationales. Il peut s'agir d'indemnités de guerre que vous versez ou recevez de vos alliés, ou encore de réparations de guerre.\nCliquez sur Suivant pour continuer.;Gelder können auch über internationale Beziehungen in Ihre Staatskasse fließen bzw. daraus abgezogen werden. Dabei kann es sich um Kriegssubventionen handeln, die wir entweder zahlen bzw. erhalten, oder aber um Kriegsreparationen.\nKlicken Sie zum Fortfahren auf Weiter.;;El dinero también puede entrar y salir del presupuesto del gobierno mediante las relaciones internacionales. Puede incluir los subsidios de guerra que pagamos o recibimos de nuestros amigos, o pueden ser reparaciones de guerra.\nHaz clic en siguiente para continuar.;;;;;;;;;x;
######################################################################;;;;;;;;;;;;;;x;
##### Technology Intermediary;;;;;;;;;;;;;;x;
######################################################################;;;;;;;;;;;;;;x;
tut_4b_1;Technology - Medium Level;La technologie - Niveau intermédiaire;Technologie - Mittlere Stufe;;Tecnología. Nivel medio;;;;;;;;;x;
tut_4b_2;In this part we will explain some the concepts concerning how research is done and how it affects your nations.\nLet's start by again entering the Technology Screen by clicking the Technology Button in the top bar.;Cette partie du didacticiel est consacrée à la recherche et à l'impact de celle-ci sur vos nations.\nPour commencer, cliquez sur le bouton Technologie de la barre supérieure pour accéder à l'écran Technologie.;In diesem Teil des Tutorials erklären wir einige Konzepte der Forschung - wie sie abläuft und wie Sie Ihre Nation beeinflusst.\nZunächst schauen wir uns dazu den Technologiebildschirm an, indem wir in der Kopfleiste auf den Technologiereiter klicken.;;En esta parte explicaremos algunos de los conceptos relativos a cómo se realiza la investigación y cómo afecta a las naciones.\nEmpecemos entrando en la pantalla de tecnología haciendo clic en el botón de Tecnología de la barra superior.;;;;;;;;;x;
tut_4b_3;Research Point Generation;Génération de points de recherche;Generierung von Forschungspunkten;;Generación de puntos de investigación;;;;;;;;;x;
tut_4b_4;Each technology you research has a research point cost. This is the amount of research points you must generate before a technology is finished. If you click any technology you can see this cost in the top part of the information window.\nClick next to continue.;Chaque technologie faisant l'objet de travaux de recherche possède un coût en points de recherche. Il s'agit du nombre de points de recherche à générer pour mettre la technologie au point. Lorsque vous cliquez sur une technologie, son coût apparaît en haut de la fenêtre d'informations.\nCliquez sur Suivant pour continuer.;Jede Technologie, die Sie erforschen, kostet Sie Forschungspunkte. Dies ist die Anzahl von Forschungspunkten, über die Sie vor dem Abschluss der Erforschung einer Technologie verfügen müssen. Wenn Sie auf eine beliebige Technologie klicken, sehen Sie oben im Informationsfenster die Forschungskosten.\nKlicken Sie zum Fortfahren auf Weiter.;;Cada tecnología que investigas tiene un coste de puntos de investigación. Esta es la cantidad de puntos de investigación que debes generar para dar por acabada una tecnología. Si haces clic en una tecnología, puedes ver el coste indicado en la parte superior de la ventana de información.\nHaz clic en Siguiente para continuar.;;;;;;;;;x;
tut_4b_5;Research Point Generation;Génération de points de recherche;Generierung von Forschungspunkten;;Generación de puntos de investigación;;;;;;;;;x;
tut_4b_6;Research points are generated by your population, specifically by your clergymen and clerks. How many research points they generate is affected by how literate they are. In addition research points are affected by the plurality of your country as well as technological progress. Take a moment and hover your mouse over the technology button in the top bar and find out how many research points Belgium generates. Next up we shall talk about the effects of technology, click the Strategic Mobility Tech under the Army Tab.;Les points de recherche sont générés par votre population, et plus particulièrement par vos membres du clergé et vos employés. Le nombre de points de recherche générés dépend de leur niveau d'érudition. En outre, les points de recherche dépendent de la pluralité et des progrès technologiques de votre pays. Passez la souris sur le bouton Technologie de la barre supérieure pour afficher le nombre de points de recherche générés par la Belgique. Nous allons maintenant nous pencher sur les effets de la technologie. Cliquez sur la technologie Mobilité stratégique sous l'onglet Armée.;Forschungspunkte werden von Ihrer Bevölkerung generiert, besonders von Ihren Geistlichen und Angestellten. Wie viele Forschungspunkte sie generieren, hängt dabei von ihrem Bildungsstand ab. Zusätzlich dazu werden Forschungspunkte von der Pluralität Ihres Landes und seinem technologischen Fortschritt beeinflusst. Nehmen Sie sich einen Moment lang Zeit und bewegen Sie Ihren Mauszeiger  in der Kopfleiste auf den Technologiereiter. So können Sie herausfinden, wie viele Forschungspunkte Belgien generiert. Als nächstes besprechen wir die technologischen Effekte. Klicken Sie dazu im Armeereiter auf die Technologie Strategische Mobilität.;;Los puntos de investigación se generan a través de tu población, más específicamente, de tus clérigos y oficiales. El número de puntos de investigación que generan se ve afectado por lo preparados que están. Además, los puntos de investigación se ven afectados por la pluralidad de tu país, así como por el progreso tecnológico. Tómate un momento y pasa tu ratón sobre el botón de tecnología en la barra superior y descubre cuántos puntos de investigación genera Bélgica. A continuación, comentaremos los efectos de la tecnología. Haz clic en la tecnología de Movilidad estratégica bajo la pestaña de Ejército.;;;;;;;;;x;
tut_4b_7;Technology Effects and Inventions;Effets technologiques et inventions;Technologie-Effekte und Erfindungen;;Efectos de la tecnología y los inventos;;;;;;;;;x;
tut_4b_8;Inventing a technology has two kinds of effects, the immediate effect and inventions. If you take a look at the information screen you can see that Strategic Mobility affects Fort Level, Army Reconnaissance and Army Supply Consumption, these effects will be immediate when the technology is researched.;La mise au point d'une technologie a deux types d'effets : l'effet immédiat et les inventions. L'écran d'informations indique que la mobilité stratégique détermine le niveau de fortifications, la reconnaissance militaire et la consommation de ressources militaires. Ces effets sont immédiats lorsque la technologie est au point.;Die Erforschung einer Technologie hat zweierlei Auswirkungen: den sofortigen Effekt und Erfindungen. Wenn Sie sich den Informationsbildschirm genau ansehen, wird Ihnen auffallen, dass die Strategische Mobilität die Fort-Stufe, die Armeeaufklärung und den Armee-Nachschubverbrauch beeinflusst. Diese Effekte treten nach Erforschung der Technologie sofort in Kraft.;;Inventar una tecnología produce dos tipos de efectos: el efecto inmediato y los inventos. Si consultas la pantalla de información, verás que la Movilidad estratégica afecta al Nivel de fortificación, al Reconocimiento del ejército y al Consumo de suministros del ejército. Estos efectos serán inmediatos cuando la tecnología se haya investigado.;;;;;;;;;x;
tut_4b_9;Inventions - Notice the light bulbs next to the technology, these represents invention. If you hover your mouse over them you can see their effects. The effects of inventions are not immediate, rather there is a chance that they might trigger randomly after you have researched their technology. The color of the light bulb tells you if a technology is triggered yet, grey means that it cant trigger, yellow that it may trigger and green that it has already happened.;Inventions : les ampoules situées près de la technologie représentent l'invention. Passez la souris sur celles-ci pour afficher leurs effets. Les effets des inventions ne sont pas immédiats. Cela dit, elles peuvent se déclencher de manière aléatoire une fois la technologie correspondante mise au point. La couleur de l'ampoule indique si la technologie a été déclenchée ou non. Le gris indique qu'elle ne peut pas se déclencher, le jaune qu'elle le peut et le vert qu'elle est au point.;Erfindungen - Beachten Sie die Glühbirnen neben der Technologie - sie repräsentieren Erfindungen. Wenn Sie Ihren Mauszeiger auf die Glühbirnen bewegen, werden Ihnen ihre Effekte angezeigt. Die Effekte von Erfindungen wirken sich nicht sofort aus. Es gibt vielmehr die Chance, dass sie zufällig freigeschaltet bzw. ausgelöst werden, nachdem Sie die betreffende Technologie erforscht haben. Die Farbe einer Glühbirne verrät Ihnen, ob die betreffende Technologie schon ausgelöst wurde. Grau bedeutet, dass dies nicht möglich ist, gelb zeigt an, dass es passieren könnte und grün steht dafür, dass sie bereits ausgelöst wurde.;;Inventos. Fíjate en las bombillas que hay junto a la tecnología, ya que son las que representan a los inventos. Si pasas el ratón sobre ellas, comprobarás sus efectos. Los efectos de los inventos no son inmediatos, más bien existe una probabilidad de que pudieran aparecer al azar después de que hayas investigado su tecnología. El color de la bombilla sirve para indicar si esa tecnología se ha provocado, gris indica que no puede provocarse, amarillo que sí puede provocarse, y verde que ya se ha provocado.;;;;;;;;;x;
tut_4b_10;Take a moment to check out which inventions different technologies have, then click Next.;Prenez le temps de consulter les inventions associées aux différentes technologies, puis cliquez sur Suivant.;Nehmen Sie sich einen Moment Zeit und schauen Sie sich an, welche Erfindungen mit verschiedenen Technologien verbunden sind. Klicken Sie dann auf Weiter.;;Tómate un momento para comprobar qué invenciones tienen las diversas tecnologías y después haz clic en Siguiente.;;;;;;;;;x;
######################################################################;;;;;;;;;;;;;;x;
##### Politics - Medium;;;;;;;;;;;;;;x;
######################################################################;;;;;;;;;;;;;;x;
tut_5b_1;Politics;Politique;Politik;;Política. Nivel medio;;;;;;;;;x;
tut_5b_2;This chapter will explain how some of the basic concepts of the Victoria political system. Start by clicking the Politics button in the top bar.;Cette section est consacrée aux notions de base du système politique de Victoria. Pour commencer, cliquez sur le bouton Politique de la barre supérieure.;Dieses Kapitel erklärt Ihnen einige grundlegende Konzepte des politischen Systems von Victoria 2. Klicken Sie zunächst in der Kopfleiste auf den Politikreiter.;;Este capítulo explicará algunos de los conceptos básicos del sistema político de Victoria 2. Para empezar, haz clic en el botón de Política, en la barra superior.;;;;;;;;;x;
tut_5b_3;The Ruling Party;Le parti dirigeant;Die Regierungspartei;;El partido gobernante;;;;;;;;;x;
tut_5b_4;Here you can see which party rules Belgium, it is currently the Katholieke Partij. The policies they support have a major impact on how your country behaves and which policies you can enact. Beneath the name of the party you can see the current policies, for example the Nationalists practices State capitalism, one of the effects of this is that you can build factories manually while under other systems only capitalists can build factories. Another important effect of policies is that they put limits on the budget slider, a State Capitalist party will for example not accept taxes under a certain level. To learn more about governments, click next.;La Belgique est actuellement dirigée par le Nationalist Partij. Les politiques défendues par le parti dirigeant ont un impact déterminant sur le comportement de votre pays et les politiques applicables. Sous le nom du parti se trouvent les politiques actuelles. Par exemple, les nationalistes pratiquent un capitalisme d'État qui vous permet notamment de construire des usines manuellement, contrairement à d'autres systèmes sous lesquels les capitalistes sont les seuls à pouvoir s'en charger. Autre effet important des politiques : elles imposent des limites sur le curseur du budget. Par exemple, un parti favorable au capitalisme d'État ne tolérera pas que les impôts soient inférieurs à un certain niveau. Pour en savoir plus sur les régimes politiques, cliquez sur Suivant.;Hier sehen Sie, welche Partei Belgien regiert: derzeit ist es die Nationalist Partij. Die politischen Strategien, die sie verfolgt, haben großen Einfluss darauf, wie sich Ihr Land verhält und welche politischen Entscheidungen Sie verfügen können. Unter dem Namen der Partei sehen Sie deren aktuelle politische Strategien. Die Nationalisten praktizieren beispielsweise Staatskapitalismus, und einer der Effekte davon ist, dass Sie selbst Fabriken bauen können, während dies unter anderen politischen Systemen nur Kapitalisten möglich ist. Ein weiterer wichtiger Effekt politischer Strategien ist, dass sie den Haushalts-Schieberegler einschränken. Eine Staatskapitalismus-Partei akzeptiert beispielsweise keine Steuern unter einem bestimmten Niveau. Klicken Sie auf Weiter, um mehr über Regierungen zu erfahren.;;Aquí puedes ver qué partido gobierna Bélgica, que actualmente es el Katholieke Partij. Las políticas que apoyan producen un impacto mayor en el comportamiento de tu país y en las políticas que puedes promulgar. Bajo el nombre del partido puedes ver la política actual. Por ejemplo, los nacionalistas practican el Capitalismo de estado. Uno de los efectos que produce es que puedes construir fábricas manualmente mientras que bajo otros sistemas, solo los capitalistas pueden construir fábricas.  Otro efecto importante de la política es que pone límites en el control del presupuesto. Por ejemplo, un partido capitalista de estado no acepta impuestos por debajo de un cierto nivel. Para aprender más sobre los gobiernos, haz clic en Siguiente.;;;;;;;;;x;
tut_5b_5;Government Form;Régimes politiques;Regierungsform;;Forma de gobierno;;;;;;;;;x;
tut_5b_6;If you don't like the current ruling party, the current government form has a major impact on your ability to do anything about this. The government also impacts which kind of ideologies are permitted to hold power. Belgium's current government form, for example, is HM's Government. Under this system there are elections, but the the player may choose to overrule the results of these in favor pf another party, at the cost of an increase in militancy among the party's supporters.\nGovernment form is a function of political reforms enacted, and the player can never change government form directly. For example no democratic form of government can persist if the voting rights have been abolished. Click next to move on.;Si le gouvernement en place ne vous convient pas, le régime politique détermine votre capacité à y remédier. De même, le type d'idéologies autorisées dépend du régime. Par exemple, la Belgique est actuellement une monarchie constitutionnelle. Ce régime permet d'organiser des élections, mais le joueur peut ignorer les votes et choisir un autre parti, au prix d'un renforcement du militantisme des partisans du parti élu.\nLe joueur ne peut pas directement changer de régime, mais ce dernier peut changer si les réformes entreprises par le joueur ne sont plus adaptées. Par exemple, aucun régime démocratique ne peut faire l'économie d'élections. Cliquez sur Suivant pour continuer.;Die aktuelle Regierungsform hat großen Einfluss auf Ihre politischen Entscheidungen und die gestatteten Ideologien. Sie bestimmt auch über Ihre Fähigkeit, die aktuelle Regierungsform zu ändern, wenn Sie ihr nicht mehr zustimmen. Belgiens aktuelle Regierung ist zum Beispiel eine Ihrer Majestät Regierung. Unter diesem System gibt es Wahlen, die Sie aber zugunsten einer anderen Partei kippen können, allerdings auf Kosten erhöhter Militanz unter den Unterstützern der geschassten Partei.\nSie können die Regierungsform nicht direkt ändern, aber dies ist möglich, wenn die Reformen, die Sie verfügen, nicht mehr zur Regierungsform passen. Eine demokratische Regierungsform kann beispielsweise nicht ohne Wahlen existieren. Klicken Sie zum Fortfahren auf Weiter.;;Si no te gusta el partido gobernante actual, la forma de gobierno actual produce un impacto importante en tu capacidad para hacer algo al respecto. El gobierno también incide en el tipo de ideologías permitidas para mantener el poder. La actual forma es el Gobierno de Su Majestad. Bajo este sistema hay elecciones, pero el jugador puede rechazar los resultados de estas en favor de otro partido, por el coste de un aumento en la militancia entre los seguidores del partido.\nLa forma de gobierno es una función de las reformas políticas aprobadas, y el jugador nunca puede cambiar de forma de gobierno directamente. Por ejemplo, ninguna forma de gobierno democrático puede continuar si se ha abolido el derecho al voto. Haz clic en Siguiente para continuar.;;;;;;;;;x;
tut_5b_7;Elections;Élections;Wahlen;;Elecciones;;;;;;;;;x;
tut_5b_8;Under certain government forms the ruling party is chosen through elections, for example under an HM's Government or under a Democracy. Under democratic governments elections must be held at certain intervals, but it is however possible to start them early by clicking the 'Hold Election' button.\nOnce the election has started an an election campaign will kick off, during which events (such as scandals and rousing speeches) may alter its outcome. At the end of the campaign the voters decide which party should rule based on what issues they consider important. Note that the voters are not necessarily the people as a whole in Belgium for example only the wealthy have the vote. Click next to continue.;Sous certains régimes, comme la monarchie constitutionnelle ou la démocratie, le parti dirigeant est désigné par des élections. Sous les régimes démocratiques, des élections doivent être organisées à certains intervalles, mais il est aussi possible d'en convoquer prématurément en cliquant sur le bouton Élections.\nUne fois les élections décidées, une campagne électorale est lancée pendant laquelle des événements peuvent influencer l'issue des votes (scandales, discours enflammés, etc.). À la fin de la campagne, les électeurs désignent le parti qui gouvernera. Notez que les électeurs ne sont pas toujours représentatifs de la population dans son ensemble. En Belgique, par exemple, seuls les riches ont le droit de voter. Cliquez sur Suivant pour continuer.;Unter bestimmten Regierungsformen wird die Regierungspartei durch Wahlen ermittelt, beispielsweise unter einer Ihrer Majestät Regierung oder in einer Demokratie. Demokratische Regierungen müssen Wahlen in bestimmten Intervallen abhalten, aber über die entsprechende Wahlschaltfläche können Sie Wahlen auch vorziehen.\nNach der Ausrufung einer Wahl beginnt ein Wahlkampf, während dem Ereignisse wie Skandale und mitreißende Reden das spätere Ergebnis verändern können. Am Ende des Wahlkampfes entscheiden die Wähler, welche Partei an die Macht kommen soll. Beachten Sie, dass es sich bei den Wählern nicht zwangsläufig um das ganze Volk handeln muss - in Belgien zum Beispiel dürfen nur Angehörige der Oberschicht wählen. Klicken Sie zum Fortfahren auf Weiter.;;Bajo ciertas formas de gobierno, el partido gobernante se elige mediante unas elecciones, por ejemplo, bajo el gobierno de Su Majestad o bajo una democracia. Las elecciones celebradas bajo gobiernos democráticos deben celebrarse a ciertos intervalos, aunque es posible iniciarlas pronto haciendo clic en el botón 'Celebrar elecciones'.\nCuando las elecciones hayan iniciado, dará comienzo la campaña de elecciones y los eventos que se produzcan en su transcurso (como escándalos y discursos enardecedores), pueden cambiar su resultado. Al término de la campaña, los votantes deciden qué partido debería gobernar. Fíjate en que los votantes no son necesariamente la totalidad de los habitantes. En Bélgica, por ejemplo, solo los ricos tienen derecho a votar. Haz clic en Siguiente para continuar.;;;;;;;;;x;
tut_5b_9;Political Reforms;Réformes politiques;Politische Reformen;;Reformas políticas;;;;;;;;;x;
tut_5b_10;Political reforms affect how your country's political system works, and how your people behave politically. The vote franchise and the voting system for example affect who gets to vote and how the votes are counted while press rights affect how your literate populations politics change. The reason to enact political reforms are usually that your people demands it but is can also be because you want greater freedom in deciding the course of your country. Now let's move on to Social Reforms, click next to continue.;Les réformes politiques ont des répercussions sur le fonctionnement du système politique de votre pays et sur le comportement politique de la population. Le droit de vote et le mode de scrutin, par exemple, déterminent qui a le droit de voter et comment les voix sont comptabilisées tandis que les droits de la presse déterminent l'évolution des opinions politiques des populations instruites. Les réformes politiques découlent généralement de revendications de la population, mais elles peuvent aussi être entreprises parce que vous souhaitez bénéficier d'une plus grande liberté pour décider de l'avenir de votre pays. Passons maintenant aux réformes sociales. Cliquez sur Suivant pour continuer.;Politische Reformen beeinflussen die Arbeit des politischen Systems Ihres Landes und wie sich Ihre Bevölkerung politisch gesehen verhält. Das Wahlrecht und das Wahlsystem beispielsweise beeinflussen, wer an die Wahlurnen darf und wie die Stimmen gewertet werden, während die Pressefreiheit Einfluss darauf hat, wie sich die politische Meinung ihrer gebildeten Bevölkerung ändert. Der Grund für die Verabschiedung politischer Reformen ist meistens deren Forderung durch Ihre Bevölkerung. Sie sind aber auch ein guter Weg, um sich mehr Entscheidungsfreiheit in Ihrem Land zu verschaffen. Klicken Sie zum Fortfahren mit den Sozialreformen auf Weiter.;;Las reformas políticas afectan al funcionamiento del sistema político de tu país, y al comportamiento de tu pueblo a nivel político. El derecho al voto y el sistema de voto, por ejemplo, afectan a quién consigue el voto y a cómo se recuentan los mismos. Los derechos de la prensa afectan a la manera en que cambian las políticas de tu población instruida. El motivo para promulgar reformas políticas suele ser que la población las solicita, pero también puede deberse a que quieres una mayor libertad a la hora de decidir el rumbo de tu país. Vamos a revisar las Reformas sociales. Haz clic en Siguiente para continuar.;;;;;;;;;x;
tut_5b_11;Social Reforms;Réformes sociales;Sozialreformen;;Reformas sociales;;;;;;;;;x;
tut_5b_12;Social reforms affect the well being of your population. Some social reforms affect the productivity of industry, like Max. Work-hours, while others channel money from the state to certain segments of the population. Some social reforms can be very beneficial, just beware that managing your reforms will increase the cost of your bureaucracy.;Les réformes sociales déterminent le bien-être de votre population. Certaines influent sur la productivité des industries, comme le nombre maximum d'heures travaillées, alors que d'autres puisent dans les caisses de l'État pour aider certaines catégories de la population. Certaines réformes sociales peuvent être très bénéfiques, mais attention à ce que leur gestion n'entraîne pas une hausse des dépenses bureaucratiques.;Sozialreformen beeinflussen das Wohlbefinden Ihrer Bevölkerung. Einige Sozialreformen wie Max. Arbeitszeit beeinflussen die Produktivität der Industrie, während andere den Geldfluss aus der Staatskasse an bestimmte Bevölkerungsgruppen kanalisieren. Manche Sozialreformen können sehr wohltätig sein, aber beachten Sie, dass Reformen die Kosten Ihrer Bürokratie in die Höhe treiben.;;Las reformas sociales afectan al bienestar de tu población. Algunas reformas sociales afectan a la productividad de la industria, como el Número máximo de horas de trabajo. Otras canalizan el dinero del estado hacia ciertos sectores de la población. Algunas reformas sociales pueden ser muy beneficiosas. Solo tienes que tener en cuenta que la gestión de tus reformas incrementará el coste de tu burocracia.;;;;;;;;;x;
tut_5b_13;Decisions;Décisions;Entscheidungen;;Decisiones;;;;;;;;;x;
tut_5b_14;In the lower right corner of the politics screen you will find your political decisions. These are important choices you can make for your country such as changing the academic establishment, building the Panama Canal or unifying Germany under your rule. If you hover your mouse over the question mark you can see which the prerequisites exists for taking the decisions and if you hover it over the tick you can see the effects it has. If the tick is greyed out you cannot take the decision because you don't fulfill the prerequisites. Click next to continue.;Les décisions se trouvent en bas à droite de l'écran Politique. Il s'agit de choix importants pour votre pays : changement de système scolaire, construction du canal de Panama, unification de l'Allemagne, etc. Passez la souris sur le point d'interrogation pour afficher les conditions préalables aux différentes décisions et sur la coche pour en voir les effets. Une coche grisée indique que vous n'avez pas accès à la décision en question parce que vous ne remplissez pas les conditions préalables. Cliquez sur Suivant pour continuer.;In der unteren rechten Ecke des Politikbildschirms finden Sie die Entscheidungen. Dies sind wichtige Entscheidungen, die Sie für Ihr Land treffen können. Sie können zum Beispiel die akademische Ausrichtung verändern, den Panamakanal bauen oder Deutschland unter Ihrer Herrschaft vereinen. Wenn Sie Ihren Mauszeiger auf eines der Fragezeichen bewegen, sehen Sie, welche Voraussetzungen die betreffende Entscheidung hat. Wenn Sie ihn auf ein Häkchen bewegen, sehen Sie die Effekte der betreffenden Entscheidung. Wenn das Häkchen ausgegraut ist, steht Ihnen die Entscheidung noch nicht zur Verfügung, weil sie noch nicht alle Voraussetzungen erfüllen. Klicken Sie zum Fortfahren auf Weiter.;;En la esquina inferior derecha de la pantalla de política podrás ver tus decisiones políticas. Se trata de importantes decisiones que puedes tomar de cara a tu país, como cambiar el estamento académico, construir el Canal de Panamá o unificar Alemania bajo tu gobierno. Si pasas el ratón por encima del símbolo de interrogación, podrás ver que requisitos previos existen ya para la toma de ciertas decisiones y, si pasa el ratón por encima de la casilla, podrás ver sus efectos. Si la casilla aparece en gris, no podrás tomar la decisión, ya que no cumples con los requisitos previos. Haz clic en Siguiente para continuar.;;;;;;;;;x;
tut_5b_15;Rebel Factions;Factions rebelles;Rebellenfraktionen;;Facciones rebeldes;;;;;;;;;x;
tut_5b_16;Finally there is the ultimate consequence of ignoring the plight of your people, the rebel factions. As militancy rises in your population, your people will consider joining a rebel faction, if they do this will be displayed in this screen. A rebel faction has dissatisfied people with a similar cause as their members. As we can see Belgium houses a reactionary faction. To the right of its name you can see three values. These are:;Si vous ignorez les problèmes de votre population, des factions rebelles peuvent se former. À mesure que le militantisme augmente au sein de votre population, celle-ci peut envisager de rejoindre une faction rebelle. Dans ce cas, cet écran vous en informe. Une faction rebelle regroupe des individus mécontents poursuivant une même cause. Comme vous pouvez le constater, la Belgique abrite une faction réactionnaire. À droite de son nom se trouvent les trois valeurs suivantes :;Die Rebellenfraktionen stellen die ultimative Konsequenz dafür dar, die Notlage Ihrer Bevölkerung zu ignorieren. Wenn die Militanz in Ihrer Bevölkerung steigt, werden Ihre Untertanen mit dem Beitritt einer Rebellenfraktion liebäugeln. Geschieht dies, wird es auf diesem Bildschirm angezeigt. Die Mitglieder einer Rebellenfraktion sind unzufriedene Leute mit identischen Zielen. Wie wir sehen können, gibt es in Belgien eine reaktionäre Fraktion. Rechts neben ihrem Namen sehen Sie drei Werte. Diese sind wie folgt:;;Por último, tenemos a las facciones rebeldes, que son la consecuencia extrema de ignorar las demandas de tu pueblo. A medida que aumenta la militancia en tu población, tu gente considerará la posibilidad de unirse a una facción rebelde. Una facción rebelde cuenta con gente insatisfecha que apoya una causa similar. Bélgica cuenta con una facción reaccionaria. A la derecha de su nombre, puedes ver tres valores. Estos son:;;;;;;;;;x;
tut_5b_17;Membership count - Number of people who supports the faction.;Nombre d'adhérents : nombre de personnes qui soutiennent la faction.;Mitgliedschaft - Wie viele Menschen die Fraktion unterstützen.;;Recuento de miembros. Número de gente que apoya la facción.;;;;;;;;;x;
tut_5b_18;Organization - A percentage that represents the internal strength of the faction. This is increased if the dissatisfied people make a lot of money.;Organisation : pourcentage représentant le pouvoir intérieur de la faction. Celui-ci est accentué si les insatisfaits sont des gens qui gagnent beaucoup d'argent.;Organisation - Ein Prozentwert, der für die interne Stärke der Fraktion steht. Dieser Wert ist geringer, wenn die unzufriedenen Menschen viel Geld verdienen.;;Organización. Un porcentaje que representa la fuerza interna de la facción. Este porcentaje aumenta si la gente insatisfecha gana mucho dinero.;;;;;;;;;x;
tut_5b_19;Revolt - This is the risk of a general uprising of this faction.;Révolte : correspond au risque de voir cette faction appeler à un soulèvement général.;Revoltenrisiko - Dies ist das Risiko eines allgemeinen Aufstands dieser Fraktion.;;Revuelta. El riesgo de que se produzca una revuelta general de esta facción.;;;;;;;;;x;
